product_id,item,descripcion,precio,stock
6DF1F449,PALETA-CREMA-PREMIUM-VINO-TINTO-RELLENO,PALETA CREMA PREMIUM Vino Tinto,40.0,0
02298024,PALETA-CREMA-QUESO,PALETA CREMA Queso,35.0,1
ACF8DA00,PALETA-CREMA-ROMPOPE,PALETA CREMA Rompope,35.0,0
05908024,PALETA-CREMA-SALTED-CARAMEL,PALETA CREMA Salted Caramel,35.0,0
866B8AED,PALETA-CREMA-TARO,PALETA CREMA Taro,35.0,2
866K9AED,PALETA-CREMA-TRIX,PALETA CREMA Trix,35.0,0
F6AEC245,PALETA-CREMA-VAINILLA,PALETA CREMA Vainilla,35.0,0
7A03C7DC,PALETA-MINI-MINI-AGUA,PALETA MINI Mini Agua,6.0,999999999
C371ED50,PALETA-MINI-MINI-ALCOHOL,PALETA MINI Mini Alcohol,10.0,99999999999
 C371ED40,PALETA-MINI-MINI-CREMA,PALETA MINI Mini Crema,8.0,99999999999
D189174D,PALETA-MINI-MINI-SIN-AZUCAR,PALETA MINI Mini Sin Azucar,10.0,99999999999
68DJ885D,PALETA-SIN-AZUCAR-CAJETA,PALETA SIN AZUCAR Cajeta,45.0,0
68DJ808D,PALETA-SIN-AZUCAR-CAPUCHINO,PALETA SIN AZUCAR Capuchino,45.0,1
03390F0A,PALETA-SIN-AZUCAR-CHOCOLATE,PALETA SIN AZUCAR Chocoketo,45.0,1
03400F0A,PALETA-SIN-AZUCAR-CHOCOLATE-CON-FRESA,PALETA Chocofresa,45.0,0
68D4185D,PALETA-SIN-AZUCAR-COCO,PALETA SIN AZUCAR Cocoketo,45.0,2
0935F20F,PALETA-SIN-AZUCAR-FERRERO,PALETA SIN AZUCAR Ferreroketo,45.0,0
498B2E60,PALETA-SIN-AZUCAR-FRESA-CHAMOY,PALETA SIN AZUCAR Fresa-Chamoy,45.0,0
EE158D68,PALETA-SIN-AZUCAR-FRUTOS-ROJOS,PALETA SIN AZUCAR Ketofrutos,45.0,2
68DDFR5D,PALETA-SIN-AZUCAR-GROSELLA,PALETA SIN AZUCAR Grosella,45.0,0
68DHRT5D,PALETA-SIN-AZUCAR-GUANABANA,PALETA SIN AZUCAR Guanabana,45.0,2
6B274D02,PALETA-SIN-AZUCAR-LIMON-CHAMOY,PALETA SIN AZUCAR Limon-Chamoy,45.0,0
6B908D02,PALETA-SIN-AZUCAR-LIMON-MENTA,PALETA SIN AZUCAR Limon-Menta,45.0,0
43F5B285,PALETA-SIN-AZUCAR-MAMEY,PALETA SIN AZUCAR Mamey,45.0,0
DC109062,PALETA-SIN-AZUCAR-MANGO,PALETA SIN AZUCAR Mango,45.0,0
CD42C696,PALETA-SIN-AZUCAR-MAZAPAN,PALETA SIN AZUCAR Mazapan,45.0,0
CD98C696,PALETA-SIN-AZUCAR-MENTA,PALETA SIN AZUCAR Menta,45.0,0
24E6A7FD,PALETA-SIN-AZUCAR-NUEZ,PALETA SIN AZUCAR Nuez,45.0,2
F797E587,PALETA-SIN-AZUCAR-PINON,PALETA SIN AZUCAR Pinon,45.0,2
66B31F3E,PALETA-SIN-AZUCAR-PISTACHE,PALETA Pistaketo,45.0,2
6A09314A,PALETA-SIN-AZUCAR-VAINILLA,PALETA SIN AZUCAR Vainilla,45.0,0
6A3513FD,PALETAS-PERRO,Paletas para Perro,30.0,3
