item,descripcion,stock,precio,product_id
PALETA-CREMA-PREMIUM-VINO-TINTO-RELLENO,PALETA CREMA PREMIUM Vino Tinto,0,40.0,6DF1F449
PALETA-CREMA-ROMPOPE,PALETA CREMA Rompope,0,35.0,ACF8DA00
PALETA-CREMA-PREMIUM-SELVA-BLANCA,PALETA CREMA PREMIUM Selva Blanca,2,40.0,05833dE3
PALETA-CREMA-PREMIUM-SELVA-NEGRA,PALETA CREMA PREMIUM Selva Negra,5,40.0,05833CE3
PALETA-CREMA-TARO,PALETA CREMA Taro,2,35.0,866B8AED
PALETA-CREMA-TRIX,PALETA CREMA Trix,0,35.0,866K9AED
PALETA-CREMA-VAINILLA,PALETA CREMA Vainilla,0,35.0,F6AEC245
PALETA-MINI-MINI-AGUA,PALETA MINI Mini Agua,999999999,6.0,7A03C7DC
PALETA-MINI-MINI-CREMA,PALETA MINI Mini Crema,99999999999,8.0, C371ED40
PALETA-MINI-MINI-ALCOHOL,PALETA MINI Mini Alcohol,99999999999,10.0,C371ED50
PALETA-MINI-MINI-SIN-AZUCAR,PALETA MINI Mini Sin Azucar,99999999999,10.0,D189174D
PALETA-SIN-AZUCAR-CAJETA,PALETA SIN AZUCAR Cajeta,0,45.0,68DJ885D
PALETA-SIN-AZUCAR-CAPUCHINO,PALETA SIN AZUCAR Capuchino,1,45.0,68DJ808D
PALETA-SIN-AZUCAR-CHOCOLATE,PALETA SIN AZUCAR Chocoketo,1,45.0,03390F0A
PALETA-SIN-AZUCAR-CHOCOLATE-CON-FRESA,PALETA Chocofresa,0,45.0,03400F0A
PALETA-SIN-AZUCAR-COCO,PALETA SIN AZUCAR Cocoketo,2,45.0,68D4185D
PALETA-SIN-AZUCAR-FERRERO,PALETA SIN AZUCAR Ferreroketo,0,45.0,0935F20F
PALETA-SIN-AZUCAR-FRESA-CHAMOY,PALETA SIN AZUCAR Fresa-Chamoy,0,45.0,498B2E60
PALETA-SIN-AZUCAR-FRUTOS-ROJOS,PALETA SIN AZUCAR Ketofrutos,2,45.0,EE158D68
PALETA-SIN-AZUCAR-GROSELLA,PALETA SIN AZUCAR Grosella,0,45.0,68DDFR5D
PALETA-SIN-AZUCAR-GUANABANA,PALETA SIN AZUCAR Guanabana,2,45.0,68DHRT5D
PALETA-SIN-AZUCAR-LIMON-CHAMOY,PALETA SIN AZUCAR Limon-Chamoy,0,45.0,6B274D02
PALETA-SIN-AZUCAR-LIMON-MENTA,PALETA SIN AZUCAR Limon-Menta,0,45.0,6B908D02
PALETA-SIN-AZUCAR-MAMEY,PALETA SIN AZUCAR Mamey,0,45.0,43F5B285
PALETA-SIN-AZUCAR-MANGO,PALETA SIN AZUCAR Mango,0,45.0,DC109062
PALETA-SIN-AZUCAR-MAZAPAN,PALETA SIN AZUCAR Mazapan,0,45.0,CD42C696
PALETA-SIN-AZUCAR-MENTA,PALETA SIN AZUCAR Menta,0,45.0,CD98C696
PALETA-SIN-AZUCAR-NUEZ,PALETA SIN AZUCAR Nuez,2,45.0,24E6A7FD
PALETA-SIN-AZUCAR-PINON,PALETA SIN AZUCAR Pinon,2,45.0,F797E587
PALETA-SIN-AZUCAR-PISTACHE,PALETA Pistaketo,2,45.0,66B31F3E
PALETA-SIN-AZUCAR-VAINILLA,PALETA SIN AZUCAR Vainilla,0,45.0,6A09314A
