txn_id,fecha,item,cantidad,precio_unit,importe,issue,metodo_pago,source_id,descripcion,status,correction_ref,notas
txn-issue-351,2026-04-26,AGUA-FRESCA-GRANDE,1,35.0,35.0,351,efectivo,351,AGUA FRESCA Grande,activa,,
txn-issue-351,2026-04-26,PALETA-AGUA-FRESA,1,25.0,25.0,351,efectivo,351,PALETA AGUA Fresa,activa,,
txn-issue-351,2026-04-26,PALETA-SIN-AZUCAR-PISTACHE,1,45.0,45.0,351,efectivo,351,PALETA Pistaketo,activa,,
txn-issue-352,2026-04-26,PALETA-CREMA-ARROZ,1,35.0,35.0,352,efectivo,352,PALETA CREMA Arroz,activa,,
txn-issue-352,2026-04-26,PALETA-CREMA-PREMIUM-NUEZ,1,40.0,40.0,352,efectivo,352,PALETA CREMA PREMIUM Nuez,activa,,
