txn_id,fecha,item,cantidad,precio_unit,importe,issue,metodo_pago,source_id,descripcion,product_id,payment
S000075,2026-04-19,AGUA-FRESCA-CHICA,1,25.0,25.0,https://github.com/OswaldoCasillas/Ventas/issues/195,efectivo,client:e01dfeff-ae7b-407b-b83f-3e469b2af6b8#1,AGUA FRESCA Chica,74CEF70C,efectivo
S000051,2026-04-19,AGUA-FRESCA-GRANDE,1,35.0,35.0,https://github.com/OswaldoCasillas/Ventas/issues/163,tarjeta,client:c04d1db3-1da4-4e7b-b10e-6d490d981c5e#0,AGUA FRESCA Grande,9C1B04E4,tarjeta
S000053,2026-04-19,AGUA-FRESCA-GRANDE,1,35.0,35.0,https://github.com/OswaldoCasillas/Ventas/issues/167,tarjeta,client:e7b8f02c-94e8-4aff-ad92-12533fa11ef0#0,AGUA FRESCA Grande,9C1B04E4,tarjeta
S000053,2026-04-19,AGUA-FRESCA-GRANDE,1,35.0,35.0,https://github.com/OswaldoCasillas/Ventas/issues/168,efectivo,client:63ec7a28-e05d-4999-bc59-963a0a5d3160#0,AGUA FRESCA Grande,9C1B04E4,efectivo
S000058,2026-04-19,AGUA-FRESCA-GRANDE,1,35.0,35.0,https://github.com/OswaldoCasillas/Ventas/issues/173,tarjeta,client:2b38a754-56fe-4ea5-a634-52f27457a1ba#1,AGUA FRESCA Grande,9C1B04E4,tarjeta
S000060,2026-04-19,AGUA-FRESCA-GRANDE,1,35.0,35.0,https://github.com/OswaldoCasillas/Ventas/issues/175,tarjeta,client:cccb3645-b4fc-4db0-a5bb-83ef60bc019e#1,AGUA FRESCA Grande,9C1B04E4,tarjeta
S000064,2026-04-19,AGUA-FRESCA-GRANDE,1,35.0,35.0,https://github.com/OswaldoCasillas/Ventas/issues/179,efectivo,client:b78472b2-6856-4bb9-a85f-407b55874046#0,AGUA FRESCA Grande,9C1B04E4,efectivo
S000068,2026-04-19,AGUA-FRESCA-GRANDE,2,35.0,70.0,https://github.com/OswaldoCasillas/Ventas/issues/185,efectivo,client:3feacaa4-bb81-48f0-9e3d-1e0803a118a4#0,AGUA FRESCA Grande,9C1B04E4,efectivo
S000076,2026-04-19,AGUA-FRESCA-GRANDE,1,35.0,35.0,https://github.com/OswaldoCasillas/Ventas/issues/198,efectivo,client:bb16bb96-5759-412d-bcb4-1f2d1775d3e4#0,AGUA FRESCA Grande,9C1B04E4,efectivo
S000067,2026-04-19,BEBIDA-CHAMOYADA,1,60.0,60.0,https://github.com/OswaldoCasillas/Ventas/issues/184,efectivo,client:677e1e53-1ed9-477b-a5ce-268e68afdc56#0,BEBIDA Chamoyada,1C271C39,efectivo
S000069,2026-04-19,EXTRA-COBERTURA-CHOCOLATE,1,10.0,10.0,https://github.com/OswaldoCasillas/Ventas/issues/186,efectivo,client:18e9f5f6-72c0-4000-971a-b2b22906f8a5#1,EXTRA Cobertura Chocolate,062CFB68,efectivo
S000074,2026-04-19,EXTRA-COBERTURA-CHOCOLATE,1,10.0,10.0,https://github.com/OswaldoCasillas/Ventas/issues/194,efectivo,client:6f09cfd1-0c9b-4420-a75c-e5aa29fe4c14#5,EXTRA Cobertura Chocolate,062CFB68,efectivo
S000057,2026-04-19,EXTRA-COBERTURA-CON-TOPPING,1,15.0,15.0,https://github.com/OswaldoCasillas/Ventas/issues/172,efectivo,client:fea93239-3165-4ab8-9e87-1aea6a423e16#0,EXTRA Cobertura con Topping,A9581B56,efectivo
S000063,2026-04-19,HELADO-CLASICO-DOBLE,1,60.0,60.0,https://github.com/OswaldoCasillas/Ventas/issues/178,tarjeta,client:ce84106b-2a6b-4ab2-9c15-660bb6eeb97b#3,Helado Clasico Doble,BD4D8B7F,tarjeta
S000074,2026-04-19,HELADO-CLASICO-DOBLE,1,60.0,60.0,https://github.com/OswaldoCasillas/Ventas/issues/194,efectivo,client:6f09cfd1-0c9b-4420-a75c-e5aa29fe4c14#3,Helado Clasico Doble,BD4D8B7F,efectivo
S000052,2026-04-19,HELADO-CLASICO-SENCILLO,1,35.0,35.0,https://github.com/OswaldoCasillas/Ventas/issues/165,efectivo,client:172dcdf4-fb76-40dc-9368-c2a9f2e54f22#2,Helado Clasico Sencillo,9D68612D,efectivo
S000066,2026-04-19,HELADO-CLASICO-SENCILLO,1,35.0,35.0,https://github.com/OswaldoCasillas/Ventas/issues/182,tarjeta,client:2398cdb8-e502-4e69-ace4-b1dbfd417d50#1,Helado Clasico Sencillo,9D68612D,tarjeta
S000071,2026-04-19,HELADO-CLASICO-SENCILLO,2,35.0,70.0,https://github.com/OswaldoCasillas/Ventas/issues/190,efectivo,client:6d51c1c7-d7ba-4b77-a986-507fff565193#0,Helado Clasico Sencillo,9D68612D,efectivo
S000074,2026-04-19,HELADO-GOURMET-DOBLE,1,70.0,70.0,https://github.com/OswaldoCasillas/Ventas/issues/194,efectivo,client:6f09cfd1-0c9b-4420-a75c-e5aa29fe4c14#6,Helado Gourmet Doble,7888486E,efectivo
S000056,2026-04-19,HELADO-GOURMET-LITRO,1,170.0,170.0,https://github.com/OswaldoCasillas/Ventas/issues/171,efectivo,client:514a1023-bb98-4238-abec-a5700e83bffe#1,Helado Gourmet Litro,28C3B90F,efectivo
S000059,2026-04-19,HELADO-NIEVE-DOBLE,2,45.0,90.0,https://github.com/OswaldoCasillas/Ventas/issues/174,tarjeta,client:b9c01d2d-dbbf-4f8a-aa2d-62732b3286cb#4,Helado Nieve Doble,3021BE59,tarjeta
S000063,2026-04-19,HELADO-NIEVE-DOBLE,1,45.0,45.0,https://github.com/OswaldoCasillas/Ventas/issues/178,tarjeta,client:ce84106b-2a6b-4ab2-9c15-660bb6eeb97b#2,Helado Nieve Doble,3021BE59,tarjeta
S000074,2026-04-19,HELADO-NIEVE-DOBLE,1,45.0,45.0,https://github.com/OswaldoCasillas/Ventas/issues/194,efectivo,client:6f09cfd1-0c9b-4420-a75c-e5aa29fe4c14#4,Helado Nieve Doble,3021BE59,efectivo
S000060,2026-04-19,HELADO-NIEVE-MEDIO-LITRO,1,75.0,75.0,https://github.com/OswaldoCasillas/Ventas/issues/175,tarjeta,client:cccb3645-b4fc-4db0-a5bb-83ef60bc019e#2,Helado Nieve Medio Litro,7081D5FB,tarjeta
S000054,2026-04-19,HELADO-NIEVE-SENCILLO,1,25.0,25.0,https://github.com/OswaldoCasillas/Ventas/issues/169,efectivo,client:b123844a-58ed-409d-8308-ae0df4309625#0,Helado Nieve Sencillo,641AA19F,efectivo
S000060,2026-04-19,HELADO-NIEVE-SENCILLO,1,25.0,25.0,https://github.com/OswaldoCasillas/Ventas/issues/175,tarjeta,client:cccb3645-b4fc-4db0-a5bb-83ef60bc019e#3,Helado Nieve Sencillo,641AA19F,tarjeta
S000067,2026-04-19,HELADO-NIEVE-SENCILLO,2,25.0,50.0,https://github.com/OswaldoCasillas/Ventas/issues/183,efectivo,client:36da91da-3f01-423d-ad92-c3246d6c6f30#1,Helado Nieve Sencillo,641AA19F,efectivo
S000068,2026-04-19,HELADO-NIEVE-SENCILLO,1,25.0,25.0,https://github.com/OswaldoCasillas/Ventas/issues/185,efectivo,client:3feacaa4-bb81-48f0-9e3d-1e0803a118a4#1,Helado Nieve Sencillo,641AA19F,efectivo
S000072,2026-04-19,HELADO-NIEVE-SENCILLO,1,25.0,25.0,https://github.com/OswaldoCasillas/Ventas/issues/191,efectivo,client:afd2fc80-3f97-47c7-b62f-1dd696ee051b#0,Helado Nieve Sencillo,641AA19F,efectivo
S000056,2026-04-19,HELADO-SIN-AZUCAR-LITRO,1,180.0,180.0,https://github.com/OswaldoCasillas/Ventas/issues/171,efectivo,client:514a1023-bb98-4238-abec-a5700e83bffe#0,Helado Sin Azucar Litro,9DC9D6D6,efectivo
S000075,2026-04-19,MALTEADA-CLASICA,2,65.0,130.0,https://github.com/OswaldoCasillas/Ventas/issues/195,efectivo,client:e01dfeff-ae7b-407b-b83f-3e469b2af6b8#0,MALTEADA Clasica,D7361A46,efectivo
S000075,2026-04-19,PALETA-AGUA-FRESA,1,25.0,25.0,https://github.com/OswaldoCasillas/Ventas/issues/196,efectivo,client:b3476221-f221-462a-81f1-8c5086a76a71#0,PALETA AGUA Fresa,6D8A2D50,efectivo
S000075,2026-04-19,PALETA-AGUA-FRESA,1,25.0,25.0,https://github.com/OswaldoCasillas/Ventas/issues/196,efectivo,client:b3476221-f221-462a-81f1-8c5086a76a71#0,PALETA AGUA Fresa,6D8A2D50,efectivo
S000077,2026-04-19,PALETA-AGUA-GUANABANA,1,25.0,25.0,https://github.com/OswaldoCasillas/Ventas/issues/199,efectivo,client:8e374c65-66c9-40bd-8dbf-71b6986eab50#0,PALETA AGUA Guanabana,K2F6E9F9,efectivo
S000052,2026-04-19,PALETA-AGUA-LIMON,1,25.0,25.0,https://github.com/OswaldoCasillas/Ventas/issues/165,efectivo,client:172dcdf4-fb76-40dc-9368-c2a9f2e54f22#1,PALETA AGUA Limon,FFFB8948,efectivo
S000055,2026-04-19,PALETA-AGUA-LIMON,1,25.0,25.0,https://github.com/OswaldoCasillas/Ventas/issues/170,efectivo,client:1481ccbd-e92d-48eb-b976-648f0b6e2b72#0,PALETA AGUA Limon,FFFB8948,efectivo
S000077,2026-04-19,PALETA-AGUA-LIMON,1,25.0,25.0,https://github.com/OswaldoCasillas/Ventas/issues/199,efectivo,client:8e374c65-66c9-40bd-8dbf-71b6986eab50#1,PALETA AGUA Limon,FFFB8948,efectivo
S000067,2026-04-19,PALETA-AGUA-MANDARINA,1,25.0,25.0,https://github.com/OswaldoCasillas/Ventas/issues/183,efectivo,client:36da91da-3f01-423d-ad92-c3246d6c6f30#0,PALETA AGUA Mandarina,3D2B18C9,efectivo
S000066,2026-04-19,PALETA-AGUA-PREMIUM-FRUTOS-ROJOS,1,30.0,30.0,https://github.com/OswaldoCasillas/Ventas/issues/182,tarjeta,client:2398cdb8-e502-4e69-ace4-b1dbfd417d50#0,PALETA AGUA PREMIUM Frutos Rojos,746FF175,tarjeta
S000065,2026-04-19,PALETA-AGUA-PREMIUM-MANGO-CHAMOY,1,30.0,30.0,https://github.com/OswaldoCasillas/Ventas/issues/180,efectivo,client:c35a7437-a72d-4045-b814-f196531dc072#1,PALETA AGUA PREMIUM Mango-Chamoy,331268B8,efectivo
S000065,2026-04-19,PALETA-AGUA-PREMIUM-MANGO-CHAMOY,4,30.0,120.0,https://github.com/OswaldoCasillas/Ventas/issues/181,efectivo,client:7417205c-b108-4bf7-bc2d-7ad3b98ed6c5#0,PALETA AGUA PREMIUM Mango-Chamoy,331268B8,efectivo
S000073,2026-04-19,PALETA-AGUA-PREMIUM-MANGO-CHAMOY,1,30.0,30.0,https://github.com/OswaldoCasillas/Ventas/issues/193,efectivo,client:92cb6022-6cfb-420e-85af-8dfaba3dd4a6#0,PALETA AGUA PREMIUM Mango-Chamoy,331268B8,efectivo
S000074,2026-04-19,PALETA-AGUA-PREMIUM-PICAPANDA,1,30.0,30.0,https://github.com/OswaldoCasillas/Ventas/issues/194,efectivo,client:6f09cfd1-0c9b-4420-a75c-e5aa29fe4c14#0,PALETA AGUA PREMIUM Picapanda,431378B8,efectivo
