txn_id,fecha,item,cantidad,precio_unit,importe,issue,metodo_pago,source_id,descripcion,status,correction_ref,notas
txn-issue-292,2026-04-25,HELADO-SIN-AZUCAR-DOBLE,1,75.0,75.0,292,efectivo,292,Helado Sin Azucar Doble,activa,,
txn-issue-292,2026-04-25,POSTRE-DANONINO-GRANDE,2,30.0,60.0,292,efectivo,292,POSTRE Danonino Grande,activa,,
txn-issue-294,2026-04-25,PALETA-AGUA-LIMON,1,25.0,25.0,294,efectivo,294,PALETA AGUA Limon,activa,,
txn-issue-294,2026-04-25,PALETA-AGUA-TAMARINDO,1,25.0,25.0,294,efectivo,294,PALETA AGUA Tamarindo,activa,,
txn-issue-295,2026-04-25,BEBIDA-CHOCOLATE-CALIENTE-VEGANO,1,40.0,40.0,295,efectivo,295,BEBIDA Chocolate Caliente Vegano,activa,,
txn-issue-295,2026-04-25,PALETA-AGUA-MANDARINA,1,25.0,25.0,295,efectivo,295,PALETA AGUA Mandarina,activa,,
txn-issue-295,2026-04-25,PALETA-MINI-MINI-SIN-AZUCAR,1,10.0,10.0,295,efectivo,295,PALETA MINI Sin Azucar,activa,,
txn-issue-296,2026-04-25,PALETA-CREMA-COCO,1,0.0,0.0,296,merma,296,PALETA CREMA Coco,activa,,
txn-issue-297,2026-04-25,PALETA-AGUA-GUAYABA,4,25.0,100.0,297,efectivo,297,PALETA AGUA Guayaba,activa,,
txn-issue-297,2026-04-25,PALETA-SIN-AZUCAR-GUANABANA,2,45.0,90.0,297,efectivo,297,PALETA SIN AZUCAR Guanabana,activa,,
txn-issue-298,2026-04-25,BEBIDA-CHAMOYADA,1,60.0,60.0,298,efectivo,298,BEBIDA Chamoyada,activa,,
txn-issue-298,2026-04-25,PALETA-CREMA-PREMIUM-FERRERO,1,40.0,40.0,298,efectivo,298,PALETA CREMA PREMIUM Ferrero,activa,,
txn-issue-299,2026-04-25,AGUA-FRESCA-GRANDE,1,35.0,35.0,299,efectivo,299,AGUA FRESCA Grande,activa,,
txn-issue-300,2026-04-25,HELADO-SIN-AZUCAR-SENCILLO,1,45.0,45.0,300,efectivo,300,Helado Sin Azucar Sencillo,activa,,
txn-issue-300,2026-04-25,PALETA-AGUA-PREMIUM-PULPARINDO,1,30.0,30.0,300,efectivo,300,PALETA AGUA PREMIUM Pulparindo,activa,,
txn-issue-300,2026-04-25,PALETA-ALCOHOL-TEQUILA,2,45.0,90.0,300,efectivo,300,PALETA ALCOHOL Tequila,activa,,
txn-issue-300,2026-04-25,PALETA-CREMA-DURAZNOS-CON-CREMA,1,35.0,35.0,300,efectivo,300,PALETA CREMA Duraznos con Crema,activa,,
txn-issue-300,2026-04-25,PALETA-CREMA-MENTA-CHOCOLATE,1,35.0,35.0,300,efectivo,300,PALETA CREMA Menta con Chocolate,activa,,
txn-issue-300,2026-04-25,PALETA-CREMA-PREMIUM-CHONGOS,1,40.0,40.0,300,efectivo,300,PALETA CREMA PREMIUM Chongos,activa,,
txn-issue-300,2026-04-25,PALETA-SIN-AZUCAR-MAMEY,1,45.0,45.0,300,efectivo,300,PALETA SIN AZUCAR Mamey,activa,,
txn-issue-301,2026-04-25,AGUA-FRESCA-GRANDE,1,35.0,35.0,301,efectivo,301,AGUA FRESCA Grande,activa,,
