txn_id,fecha,item,cantidad,precio_unit,importe,issue,metodo_pago,source_id,descripcion,status,correction_ref,notas
S000082,2026-04-21,PALETA-MINI-MINI-AGUA,1,6.0,6.0,https://github.com/OswaldoCasillas/Ventas/issues/204,efectivo,client:4f6388e9-5fc1-4b4b-b567-05af153230d5#0,PALETA-MINI-MINI-AGUA,,,
S000083,2026-04-21,EXTRA-CONO,1,5.0,5.0,https://github.com/OswaldoCasillas/Ventas/issues/206,efectivo,client:a490a282-60ee-4c74-8b7c-7b2705d39bdd#2,EXTRA-CONO,,,
S000083,2026-04-21,HELADO-NIEVE-SENCILLO,1,25.0,25.0,https://github.com/OswaldoCasillas/Ventas/issues/206,efectivo,client:a490a282-60ee-4c74-8b7c-7b2705d39bdd#1,HELADO-NIEVE-SENCILLO,,,
S000083,2026-04-21,PALETA-AGUA-PREMIUM-SANDIA-CHAMOY,1,30.0,30.0,https://github.com/OswaldoCasillas/Ventas/issues/206,efectivo,client:a490a282-60ee-4c74-8b7c-7b2705d39bdd#0,PALETA-AGUA-PREMIUM-SANDIA-CHAMOY,,,
S000083,2026-04-21,PALETA-CREMA-PAY-DE-LIMON,1,35.0,35.0,https://github.com/OswaldoCasillas/Ventas/issues/206,efectivo,client:a490a282-60ee-4c74-8b7c-7b2705d39bdd#3,PALETA-CREMA-PAY-DE-LIMON,,,
S000084,2026-04-21,HELADO-SIN-AZUCAR-SENCILLO,1,45.0,45.0,https://github.com/OswaldoCasillas/Ventas/issues/207,efectivo,client:ae7e42d1-10c0-48d8-b97f-d963cf2d9d14#0,HELADO-SIN-AZUCAR-SENCILLO,,,
S000085,2026-04-21,PALETA-CREMA-PAY-DE-LIMON,1,35.0,35.0,https://github.com/OswaldoCasillas/Ventas/issues/208,efectivo,client:6e427b63-eb71-4df4-a62f-e3a8e4a703f0#0,PALETA-CREMA-PAY-DE-LIMON,,,
S000086,2026-04-21,PALETA-AGUA-PREMIUM-FRUTOS-ROJOS,2,30.0,60.0,https://github.com/OswaldoCasillas/Ventas/issues/209,efectivo,client:d3ae5b3f-f78d-4469-9623-58bd1f4f7179#3,PALETA-AGUA-PREMIUM-FRUTOS-ROJOS,,,
S000086,2026-04-21,PALETA-CREMA-CAPUCHINO,1,35.0,35.0,https://github.com/OswaldoCasillas/Ventas/issues/209,efectivo,client:d3ae5b3f-f78d-4469-9623-58bd1f4f7179#0,PALETA-CREMA-CAPUCHINO,,,
S000086,2026-04-21,PALETA-CREMA-FRESA-CREMA,1,35.0,35.0,https://github.com/OswaldoCasillas/Ventas/issues/209,efectivo,client:d3ae5b3f-f78d-4469-9623-58bd1f4f7179#4,PALETA-CREMA-FRESA-CREMA,,,
S000086,2026-04-21,PALETA-CREMA-ROMPOPE,1,35.0,35.0,https://github.com/OswaldoCasillas/Ventas/issues/209,efectivo,client:d3ae5b3f-f78d-4469-9623-58bd1f4f7179#1,PALETA-CREMA-ROMPOPE,,,
S000086,2026-04-21,PALETAS-PERRO,1,30.0,30.0,https://github.com/OswaldoCasillas/Ventas/issues/209,efectivo,client:d3ae5b3f-f78d-4469-9623-58bd1f4f7179#2,PALETAS-PERRO,,,
S000087,2026-04-21,BOTANA-DORILOCOS,1,50.0,50.0,https://github.com/OswaldoCasillas/Ventas/issues/210,efectivo,client:acc9baf3-0b17-4868-82ea-da7b78166334#0,BOTANA-DORILOCOS,,,
S000088,2026-04-21,PALETA-AGUA-MANGO,1,25.0,25.0,https://github.com/OswaldoCasillas/Ventas/issues/211,efectivo,client:623da726-7259-465d-bd4c-8af7e67559fa#1,PALETA-AGUA-MANGO,,,
S000088,2026-04-21,PALETA-MINI-MINI-SIN-AZUCAR,1,10.0,10.0,https://github.com/OswaldoCasillas/Ventas/issues/211,efectivo,client:623da726-7259-465d-bd4c-8af7e67559fa#2,PALETA-MINI-MINI-SIN-AZUCAR,,,
S000088,2026-04-21,PALETA-SIN-AZUCAR-COCO,1,45.0,45.0,https://github.com/OswaldoCasillas/Ventas/issues/211,efectivo,client:623da726-7259-465d-bd4c-8af7e67559fa#0,PALETA-SIN-AZUCAR-COCO,,,
S000089,2026-04-21,HELADO-GOURMET-SENCILLO,1,40.0,40.0,https://github.com/OswaldoCasillas/Ventas/issues/212,tarjeta,client:41a30a82-fe74-4f1f-8cf6-b200c3931b9d#1,HELADO-GOURMET-SENCILLO,,,
S000089,2026-04-21,PALETA-SIN-AZUCAR-FRUTOS-ROJOS,1,45.0,45.0,https://github.com/OswaldoCasillas/Ventas/issues/212,tarjeta,client:41a30a82-fe74-4f1f-8cf6-b200c3931b9d#0,PALETA-SIN-AZUCAR-FRUTOS-ROJOS,,,
