txn_id,fecha,item,cantidad,precio_unit,importe,issue,metodo_pago,source_id,descripcion,status,correction_ref,notas
S000108,2026-04-22,HELADO-CLASICO-SENCILLO,1,35.0,35.0,https://github.com/OswaldoCasillas/Ventas/issues/231,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/231#0,HELADO-CLASICO-SENCILLO,,,
S000109,2026-04-22,PALETA-AGUA-LIMON,2,25.0,50.0,https://github.com/OswaldoCasillas/Ventas/issues/232,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/232#0,PALETA-AGUA-LIMON,,,
S000110,2026-04-22,PALETA-MINI-MINI-AGUA,1,6.0,6.0,https://github.com/OswaldoCasillas/Ventas/issues/233,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/233#0,PALETA-MINI-MINI-AGUA,,,
S000110,2026-04-22,PALETA-MINI-MINI-CREMA,5,8.0,40.0,https://github.com/OswaldoCasillas/Ventas/issues/233,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/233#1,PALETA-MINI-MINI-CREMA,,,
S000111,2026-04-22,EXTRA-COBERTURA-CON-TOPPING,1,15.0,15.0,https://github.com/OswaldoCasillas/Ventas/issues/234,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/234#2,EXTRA-COBERTURA-CON-TOPPING,,,
S000111,2026-04-22,HELADO-GOURMET-SENCILLO,1,40.0,40.0,https://github.com/OswaldoCasillas/Ventas/issues/234,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/234#1,HELADO-GOURMET-SENCILLO,,,
S000111,2026-04-22,PALETA-MINI-MINI-SIN-AZUCAR,10,10.0,100.0,https://github.com/OswaldoCasillas/Ventas/issues/234,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/234#0,PALETA-MINI-MINI-SIN-AZUCAR,,,
S000112,2026-04-22,HELADO-SIN-AZUCAR-SENCILLO,1,45.0,45.0,https://github.com/OswaldoCasillas/Ventas/issues/235,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/235#0,HELADO-SIN-AZUCAR-SENCILLO,,,
S000113,2026-04-22,HELADO-GOURMET-MEDIO-LITRO,1,90.0,90.0,https://github.com/OswaldoCasillas/Ventas/issues/236,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/236#2,HELADO-GOURMET-MEDIO-LITRO,,,
S000113,2026-04-22,PALETA-AGUA-PREMIUM-MANGO-CHAMOY,1,30.0,30.0,https://github.com/OswaldoCasillas/Ventas/issues/236,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/236#0,PALETA-AGUA-PREMIUM-MANGO-CHAMOY,,,
S000113,2026-04-22,PALETA-AGUA-PREMIUM-PICAPANDA,1,30.0,30.0,https://github.com/OswaldoCasillas/Ventas/issues/236,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/236#1,PALETA-AGUA-PREMIUM-PICAPANDA,,,
S000114,2026-04-22,BOTANA-DORILOCOS,1,50.0,50.0,https://github.com/OswaldoCasillas/Ventas/issues/237,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/237#0,BOTANA-DORILOCOS,,,
S000115,2026-04-22,BOTANA-DORILOCOS,1,50.0,50.0,https://github.com/OswaldoCasillas/Ventas/issues/238,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/238#0,BOTANA-DORILOCOS,,,
S000115,2026-04-22,PALETA-MINI-MINI-AGUA,1,6.0,6.0,https://github.com/OswaldoCasillas/Ventas/issues/238,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/238#1,PALETA-MINI-MINI-AGUA,,,
S000116,2026-04-22,HELADO-CLASICO-SENCILLO,1,35.0,35.0,https://github.com/OswaldoCasillas/Ventas/issues/239,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/239#0,HELADO-CLASICO-SENCILLO,,,
S000117,2026-04-22,HELADO-GOURMET-SENCILLO,1,40.0,40.0,https://github.com/OswaldoCasillas/Ventas/issues/240,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/240#0,HELADO-GOURMET-SENCILLO,,,
S000117,2026-04-22,HELADO-NIEVE-SENCILLO,1,25.0,25.0,https://github.com/OswaldoCasillas/Ventas/issues/240,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/240#1,HELADO-NIEVE-SENCILLO,,,
S000117,2026-04-22,HELADO-SIN-AZUCAR-LITRO,1,180.0,180.0,https://github.com/OswaldoCasillas/Ventas/issues/240,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/240#3,HELADO-SIN-AZUCAR-LITRO,,,
S000117,2026-04-22,PALETA-SIN-AZUCAR-COCO,1,45.0,45.0,https://github.com/OswaldoCasillas/Ventas/issues/240,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/240#2,PALETA-SIN-AZUCAR-COCO,,,
S000118,2026-04-22,PALETA-CREMA-PREMIUM-QUESO-CON-ZARZAMORA,1,40.0,40.0,https://github.com/OswaldoCasillas/Ventas/issues/241,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/241#0,PALETA-CREMA-PREMIUM-QUESO-CON-ZARZAMORA,,,
S000119,2026-04-22,HELADO-NIEVE-SENCILLO,1,25.0,25.0,https://github.com/OswaldoCasillas/Ventas/issues/242,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/242#0,HELADO-NIEVE-SENCILLO,,,
S000120,2026-04-22,HELADO-CLASICO-SENCILLO,1,35.0,35.0,https://github.com/OswaldoCasillas/Ventas/issues/243,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/243#0,HELADO-CLASICO-SENCILLO,,,
S000120,2026-04-22,MALTEADA-CLASICA,1,65.0,65.0,https://github.com/OswaldoCasillas/Ventas/issues/243,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/243#1,MALTEADA-CLASICA,,,
S000121,2026-04-22,PALETA-AGUA-GUANABANA,1,25.0,25.0,https://github.com/OswaldoCasillas/Ventas/issues/244,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/244#0,PALETA-AGUA-GUANABANA,,,
S000122,2026-04-22,HELADO-CLASICO-SENCILLO,2,35.0,70.0,https://github.com/OswaldoCasillas/Ventas/issues/245,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/245#0,HELADO-CLASICO-SENCILLO,,,
S000122,2026-04-22,PALETA-MINI-MINI-AGUA,1,6.0,6.0,https://github.com/OswaldoCasillas/Ventas/issues/245,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/245#1,PALETA-MINI-MINI-AGUA,,,
