txn_id,fecha,item,cantidad,precio_unit,importe,issue,product_id,descripcion
S-20251017-231114-F794ED,2025-10-17,PALETA-CREMA-FRESA-CON-CREMA,1,35.0,35.0,https://github.com/OswaldoCasillas/Ventas/issues/1,03C761CC,PALETA CREMA Fresa con Crema
S-20251018-071133-78828B,2025-10-17,PALETA-SIN-AZUCAR-COCO,1,45.0,45.0,https://github.com/OswaldoCasillas/Ventas/issues/5,68D4185D,PALETA SIN AZUCAR Coco
S-20251018-071133-78828B,2025-10-17,PALETA-CREMA-SELVA-NEGRA,1,40.0,40.0,https://github.com/OswaldoCasillas/Ventas/issues/5,05833CE3,PALETA CREMA Selva Negra
